Day #,WR004-01,CASP005-01,EASP001-01,IV002-01,EASP002-01,CASP006-01,CASP004-02,ASP001-01,EASP003-01,WR005-01
48,,,,160.85714285714286,148.66666666666666,164.0,121.99600000000001,,167.6,
49,124.4,,,159.28571428571428,154.33333333333334,160.66666666666666,130.964,,167.6,
50,124.9,,,159.71428571428572,118.33333333333333,,148.8,,171.8,
51,123.7,,,,128.66666666666666,,140.8,,167.6,143.16666666666666
52,122.2,,,,131.0,,149.0,,168.0,
53,117.8,,,,,,145.6,,,
54,,,,,,,148.0,,,
55,,,,,150.66666666666666,160.33333333333334,149.2,,168.0,
56,114.3,,,,154.0,151.66666666666666,144.0,,,
57,110.7,,,,156.0,157.0,155.8,,168.2,151.33333333333334
58,114.4,,,,158.33333333333334,157.33333333333334,156.8,,169.0,148.66666666666666
59,112.4,,,,160.33333333333334,,160.2,,168.2,146.83333333333334
60,109.4,,,,,,159.8,,,146.5
61,,,,,,157.33333333333334,159.8,,,144.83333333333334
62,,,,,161.0,158.0,161.0,,165.6,
63,105.1,,,,160.33333333333334,163.0,152.8,,,
64,106.9,,,,156.33333333333334,,148.4,,167.8,146.66666666666666
65,102.3,,,,157.0,,148.0,,168.4,
66,101.7,,,,156.33333333333334,,152.8,,166.4,154.0
67,96.3,,,,,,145.6,,,153.33333333333334
68,,,,,,154.66666666666666,,,,
69,,,,,156.66666666666666,154.0,,,166.6,
70,,,,,130.33333333333334,153.0,,,,
71,,,,,133.0,153.0,,,,148.33333333333334
72,,,,,137.0,,,,,
73,,,,,142.0,,,,,151.16666666666666
74,,,,,,,,,,
75,,,,,,150.0,,,,144.66666666666666
76,,,,,,149.33333333333334,,,,
77,,,,,,150.5,,,,
78,,,,,140.83333333333334,149.52666666666667,,,,
79,,,,,141.33333333333334,151.21,,,,
80,,,,,141.33333333333334,149.6,,,,150.66666666666666
81,,,,,,150.24,,,,
82,,,,,,148.51333333333332,,,,
83,,,,,140.33333333333334,147.95000000000002,,,,
84,,,,,140.0,149.41333333333333,,,,
85,,,,,139.66666666666666,147.42333333333332,,,,143.33333333333334
86,,,,,140.33333333333334,147.53666666666666,,,,
87,,,,,139.66666666666666,,,,,140.66666666666666
88,,,,,,,,,,
89,,,,,,,,,,141.66666666666666
90,,,,,140.0,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,143.66666666666666
94,,,,,,,,,,150.33333333333334
95,,,,,,,,,,150.0
96,,,,,,,,,,
97,,,,,,,,,,
