facility_name,trial_stage,bag_set,bag_number,product_name,percent_residual
Facility 5 (EASP),Second Removal,C (yellow),6,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),First Removal,A (blue),10,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),First Removal,A (blue),6,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),First Removal,A (blue),7,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),First Removal,A (blue),8,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),First Removal,A (blue),9,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),First Removal,B (green),10,PLa-lined Paper Hot Cup 12oz,52.0%
Facility 6 (CASP),First Removal,B (green),6,PLa-lined Paper Hot Cup 12oz,72.8%
Facility 6 (CASP),First Removal,B (green),7,PLa-lined Paper Hot Cup 12oz,78.7%
Facility 6 (CASP),First Removal,B (green),8,PLa-lined Paper Hot Cup 12oz,92.5%
Facility 6 (CASP),First Removal,B (green),9,PLa-lined Paper Hot Cup 12oz,81.1%
Facility 6 (CASP),First Removal,C (yellow),10,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),First Removal,C (yellow),6,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),First Removal,C (yellow),7,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),First Removal,C (yellow),8,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),First Removal,C (yellow),9,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),Second Removal,A (blue),1,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),Second Removal,A (blue),2,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),Second Removal,A (blue),4,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),Second Removal,A (blue),5,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),Second Removal,B (green),1,PLa-lined Paper Hot Cup 12oz,0.0%
Facility 6 (CASP),Second Removal,B (green),2,PLa-lined Paper Hot Cup 12oz,0.0%
Facility 6 (CASP),Second Removal,B (green),3,PLa-lined Paper Hot Cup 12oz,13.7%
Facility 6 (CASP),Second Removal,B (green),4,PLa-lined Paper Hot Cup 12oz,0.0%
Facility 6 (CASP),Second Removal,B (green),5,PLa-lined Paper Hot Cup 12oz,0.0%
Facility 6 (CASP),Second Removal,C (yellow),1,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),Second Removal,C (yellow),2,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),Second Removal,C (yellow),3,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),Second Removal,C (yellow),4,PLa-lined Paper Hot Cup 12oz,
Facility 6 (CASP),Second Removal,C (yellow),5,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),First Removal,A (blue),1,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),First Removal,A (blue),10,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),First Removal,A (blue),4,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),First Removal,A (blue),5,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),First Removal,A (blue),7,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),First Removal,B (green),2,PLa-lined Paper Hot Cup 12oz,35.2%
Facility 7 (CASP),First Removal,B (green),3,PLa-lined Paper Hot Cup 12oz,53.1%
Facility 7 (CASP),First Removal,B (green),4,PLa-lined Paper Hot Cup 12oz,44.6%
Facility 7 (CASP),First Removal,B (green),8,PLa-lined Paper Hot Cup 12oz,0.0%
Facility 7 (CASP),First Removal,B (green),9,PLa-lined Paper Hot Cup 12oz,61.6%
Facility 7 (CASP),First Removal,C (yellow),10,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),First Removal,C (yellow),5,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),First Removal,C (yellow),7,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),First Removal,C (yellow),8,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),Second Removal,A (blue),2,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),Second Removal,A (blue),3,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),Second Removal,A (blue),6,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),Second Removal,A (blue),8,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),Second Removal,A (blue),9,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),Second Removal,B (green),1,PLa-lined Paper Hot Cup 12oz,0.0%
Facility 7 (CASP),Second Removal,B (green),5,PLa-lined Paper Hot Cup 12oz,57.7%
Facility 7 (CASP),Second Removal,B (green),6,PLa-lined Paper Hot Cup 12oz,16.5%
Facility 7 (CASP),Second Removal,B (green),7,PLa-lined Paper Hot Cup 12oz,0.0%
Facility 7 (CASP),Second Removal,C (yellow),1,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),Second Removal,C (yellow),2,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),Second Removal,C (yellow),3,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),Second Removal,C (yellow),6,PLa-lined Paper Hot Cup 12oz,
Facility 7 (CASP),Second Removal,C (yellow),9,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),First Removal,A (blue),1,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),First Removal,A (blue),2,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),First Removal,A (blue),3,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),First Removal,A (blue),4,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),First Removal,A (blue),5,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),First Removal,B (green),1,PLa-lined Paper Hot Cup 12oz,73.4%
Facility 8 (ASP),First Removal,B (green),2,PLa-lined Paper Hot Cup 12oz,76.4%
Facility 8 (ASP),First Removal,B (green),3,PLa-lined Paper Hot Cup 12oz,82.0%
Facility 8 (ASP),First Removal,B (green),4,PLa-lined Paper Hot Cup 12oz,87.2%
Facility 8 (ASP),First Removal,B (green),5,PLa-lined Paper Hot Cup 12oz,69.6%
Facility 8 (ASP),First Removal,C (yellow),1,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),First Removal,C (yellow),2,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),First Removal,C (yellow),3,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),First Removal,C (yellow),4,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),First Removal,C (yellow),5,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),Second Removal,A (blue),10,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),Second Removal,A (blue),6,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),Second Removal,A (blue),7,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),Second Removal,A (blue),8,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),Second Removal,A (blue),9,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),Second Removal,B (green),10,PLa-lined Paper Hot Cup 12oz,72.0%
Facility 8 (ASP),Second Removal,B (green),6,PLa-lined Paper Hot Cup 12oz,80.6%
Facility 8 (ASP),Second Removal,B (green),7,PLa-lined Paper Hot Cup 12oz,60.2%
Facility 8 (ASP),Second Removal,B (green),8,PLa-lined Paper Hot Cup 12oz,82.7%
Facility 8 (ASP),Second Removal,B (green),9,PLa-lined Paper Hot Cup 12oz,65.8%
Facility 8 (ASP),Second Removal,C (yellow),10,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),Second Removal,C (yellow),6,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),Second Removal,C (yellow),7,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),Second Removal,C (yellow),8,PLa-lined Paper Hot Cup 12oz,
Facility 8 (ASP),Second Removal,C (yellow),9,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),First Removal,A (blue),10,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),First Removal,A (blue),2,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),First Removal,A (blue),4,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),First Removal,A (blue),6,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),First Removal,A (blue),9,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),First Removal,B (green),1,PLa-lined Paper Hot Cup 12oz,78.2%
Facility 9 (EASP),First Removal,B (green),2,PLa-lined Paper Hot Cup 12oz,86.3%
Facility 9 (EASP),First Removal,B (green),4,PLa-lined Paper Hot Cup 12oz,86.2%
Facility 9 (EASP),First Removal,B (green),5,PLa-lined Paper Hot Cup 12oz,84.6%
Facility 9 (EASP),First Removal,B (green),6,PLa-lined Paper Hot Cup 12oz,83.3%
Facility 9 (EASP),First Removal,C (yellow),1,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),First Removal,C (yellow),2,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),First Removal,C (yellow),3,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),First Removal,C (yellow),4,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),First Removal,C (yellow),5,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),Second Removal,A (blue),1,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),Second Removal,A (blue),3,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),Second Removal,A (blue),5,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),Second Removal,A (blue),7,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),Second Removal,A (blue),8,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),Second Removal,B (green),10,PLa-lined Paper Hot Cup 12oz,76.4%
Facility 9 (EASP),Second Removal,B (green),3,PLa-lined Paper Hot Cup 12oz,80.0%
Facility 9 (EASP),Second Removal,B (green),7,PLa-lined Paper Hot Cup 12oz,80.4%
Facility 9 (EASP),Second Removal,B (green),8,PLa-lined Paper Hot Cup 12oz,78.1%
Facility 9 (EASP),Second Removal,B (green),9,PLa-lined Paper Hot Cup 12oz,79.9%
Facility 9 (EASP),Second Removal,C (yellow),10,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),Second Removal,C (yellow),6,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),Second Removal,C (yellow),7,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),Second Removal,C (yellow),8,PLa-lined Paper Hot Cup 12oz,
Facility 9 (EASP),Second Removal,C (yellow),9,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),First Removal,A (blue),2,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),First Removal,A (blue),4,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),First Removal,A (blue),6,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),First Removal,A (blue),7,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),First Removal,A (blue),9,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),First Removal,B (green),10,PLa-lined Paper Hot Cup 12oz,37.9%
Facility 10 (Windrow),First Removal,B (green),2,PLa-lined Paper Hot Cup 12oz,32.9%
Facility 10 (Windrow),First Removal,B (green),4,PLa-lined Paper Hot Cup 12oz,39.3%
Facility 10 (Windrow),First Removal,B (green),6,PLa-lined Paper Hot Cup 12oz,10.9%
Facility 10 (Windrow),First Removal,B (green),7,PLa-lined Paper Hot Cup 12oz,17.5%
Facility 10 (Windrow),First Removal,C (yellow),1,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),First Removal,C (yellow),3,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),First Removal,C (yellow),5,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),First Removal,C (yellow),6,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),First Removal,C (yellow),7,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),Second Removal,A (blue),1,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),Second Removal,A (blue),10,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),Second Removal,A (blue),3,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),Second Removal,A (blue),5,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),Second Removal,A (blue),8,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),Second Removal,B (green),1,PLa-lined Paper Hot Cup 12oz,0.0%
Facility 10 (Windrow),Second Removal,B (green),3,PLa-lined Paper Hot Cup 12oz,0.0%
Facility 10 (Windrow),Second Removal,B (green),5,PLa-lined Paper Hot Cup 12oz,0.0%
Facility 10 (Windrow),Second Removal,B (green),9,PLa-lined Paper Hot Cup 12oz,0.0%
Facility 10 (Windrow),Second Removal,C (yellow),10,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),Second Removal,C (yellow),2,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),Second Removal,C (yellow),4,PLa-lined Paper Hot Cup 12oz,
Facility 10 (Windrow),Second Removal,C (yellow),9,PLa-lined Paper Hot Cup 12oz,
Facility 3 (EASP),First Removal,(blank),(blank),PLa-lined Paper Hot Cup 12oz,3.3%
Facility 3 (EASP),Second Removal,(blank),(blank),PLa-lined Paper Hot Cup 12oz,3.8%
Facility 4 (In-Vessel),First Removal,(blank),(blank),PLa-lined Paper Hot Cup 12oz,0.0%
Facility 4 (In-Vessel),Second Removal,(blank),(blank),PLa-lined Paper Hot Cup 12oz,0.0%
Facility 1 ( Windrow),First Removal,A (blue),10,CPLA Hot Cup Lid,
Facility 1 ( Windrow),First Removal,A (blue),6,CPLA Hot Cup Lid,
Facility 1 ( Windrow),First Removal,A (blue),7,CPLA Hot Cup Lid,
Facility 1 ( Windrow),First Removal,A (blue),8,CPLA Hot Cup Lid,
Facility 1 ( Windrow),First Removal,A (blue),9,CPLA Hot Cup Lid,
Facility 1 ( Windrow),First Removal,B (green),10,CPLA Hot Cup Lid,
Facility 1 ( Windrow),First Removal,B (green),6,CPLA Hot Cup Lid,
Facility 1 ( Windrow),First Removal,B (green),7,CPLA Hot Cup Lid,
Facility 1 ( Windrow),First Removal,B (green),8,CPLA Hot Cup Lid,
Facility 1 ( Windrow),First Removal,B (green),9,CPLA Hot Cup Lid,
Facility 1 ( Windrow),First Removal,C (yellow),10,CPLA Hot Cup Lid,0.0%
Facility 1 ( Windrow),First Removal,C (yellow),6,CPLA Hot Cup Lid,0.0%
Facility 1 ( Windrow),First Removal,C (yellow),7,CPLA Hot Cup Lid,0.0%
Facility 1 ( Windrow),First Removal,C (yellow),8,CPLA Hot Cup Lid,0.0%
Facility 1 ( Windrow),First Removal,C (yellow),9,CPLA Hot Cup Lid,63.1%
Facility 1 ( Windrow),Second Removal,A (blue),1,CPLA Hot Cup Lid,
Facility 1 ( Windrow),Second Removal,A (blue),2,CPLA Hot Cup Lid,
Facility 1 ( Windrow),Second Removal,A (blue),3,CPLA Hot Cup Lid,
Facility 1 ( Windrow),Second Removal,A (blue),4,CPLA Hot Cup Lid,
Facility 1 ( Windrow),Second Removal,A (blue),5,CPLA Hot Cup Lid,
Facility 1 ( Windrow),Second Removal,B (green),1,CPLA Hot Cup Lid,
Facility 1 ( Windrow),Second Removal,B (green),2,CPLA Hot Cup Lid,
Facility 1 ( Windrow),Second Removal,B (green),3,CPLA Hot Cup Lid,
Facility 1 ( Windrow),Second Removal,B (green),4,CPLA Hot Cup Lid,
Facility 1 ( Windrow),Second Removal,B (green),5,CPLA Hot Cup Lid,
Facility 1 ( Windrow),Second Removal,C (yellow),1,CPLA Hot Cup Lid,0.0%
Facility 1 ( Windrow),Second Removal,C (yellow),2,CPLA Hot Cup Lid,0.0%
Facility 1 ( Windrow),Second Removal,C (yellow),3,CPLA Hot Cup Lid,0.0%
Facility 1 ( Windrow),Second Removal,C (yellow),4,CPLA Hot Cup Lid,0.0%
Facility 1 ( Windrow),Second Removal,C (yellow),5,CPLA Hot Cup Lid,0.0%
Facility 2 (CASP),First Removal,A (blue),2,CPLA Hot Cup Lid,
Facility 2 (CASP),First Removal,A (blue),4,CPLA Hot Cup Lid,
Facility 2 (CASP),First Removal,A (blue),5,CPLA Hot Cup Lid,
Facility 2 (CASP),First Removal,A (blue),7,CPLA Hot Cup Lid,
Facility 2 (CASP),First Removal,A (blue),9,CPLA Hot Cup Lid,
Facility 2 (CASP),First Removal,B (green),(blank),CPLA Hot Cup Lid,
Facility 2 (CASP),First Removal,B (green),1,CPLA Hot Cup Lid,0.0%
Facility 2 (CASP),First Removal,B (green),2,CPLA Hot Cup Lid,0.0%
Facility 2 (CASP),First Removal,B (green),4,CPLA Hot Cup Lid,0.0%
Facility 2 (CASP),First Removal,B (green),5,CPLA Hot Cup Lid,0.0%
Facility 2 (CASP),First Removal,B (green),8,CPLA Hot Cup Lid,0.0%
Facility 2 (CASP),First Removal,C (yellow),1,CPLA Hot Cup Lid,
Facility 2 (CASP),First Removal,C (yellow),2,CPLA Hot Cup Lid,
Facility 2 (CASP),First Removal,C (yellow),4,CPLA Hot Cup Lid,
Facility 2 (CASP),First Removal,C (yellow),5,CPLA Hot Cup Lid,
Facility 2 (CASP),First Removal,C (yellow),9,CPLA Hot Cup Lid,
Facility 2 (CASP),Second Removal,A (blue),10,CPLA Hot Cup Lid,
Facility 2 (CASP),Second Removal,A (blue),3,CPLA Hot Cup Lid,
Facility 2 (CASP),Second Removal,A (blue),6,CPLA Hot Cup Lid,
Facility 2 (CASP),Second Removal,A (blue),8,CPLA Hot Cup Lid,
Facility 2 (CASP),Second Removal,B (green),3,CPLA Hot Cup Lid,0.0%
Facility 2 (CASP),Second Removal,B (green),6,CPLA Hot Cup Lid,0.0%
Facility 2 (CASP),Second Removal,B (green),7,CPLA Hot Cup Lid,0.0%
Facility 2 (CASP),Second Removal,B (green),9,CPLA Hot Cup Lid,0.0%
Facility 2 (CASP),Second Removal,C (yellow),10,CPLA Hot Cup Lid,
Facility 2 (CASP),Second Removal,C (yellow),3,CPLA Hot Cup Lid,
Facility 2 (CASP),Second Removal,C (yellow),6,CPLA Hot Cup Lid,
Facility 2 (CASP),Second Removal,C (yellow),7,CPLA Hot Cup Lid,
Facility 2 (CASP),Second Removal,C (yellow),8,CPLA Hot Cup Lid,
Facility 5 (EASP),First Removal,A (blue),1,CPLA Hot Cup Lid,
Facility 5 (EASP),First Removal,A (blue),10,CPLA Hot Cup Lid,
Facility 5 (EASP),First Removal,A (blue),4,CPLA Hot Cup Lid,
Facility 5 (EASP),First Removal,A (blue),6,CPLA Hot Cup Lid,
Facility 5 (EASP),First Removal,A (blue),8,CPLA Hot Cup Lid,
Facility 5 (EASP),First Removal,B (green),2,CPLA Hot Cup Lid,0.0%
Facility 5 (EASP),First Removal,B (green),5,CPLA Hot Cup Lid,0.0%
Facility 5 (EASP),First Removal,B (green),6,CPLA Hot Cup Lid,0.0%
Facility 5 (EASP),First Removal,B (green),7,CPLA Hot Cup Lid,0.0%
Facility 5 (EASP),First Removal,B (green),8,CPLA Hot Cup Lid,0.0%
Facility 5 (EASP),First Removal,C (yellow),10,CPLA Hot Cup Lid,
Facility 5 (EASP),First Removal,C (yellow),3,CPLA Hot Cup Lid,
Facility 5 (EASP),First Removal,C (yellow),7,CPLA Hot Cup Lid,
