facility_name,bag_ID,item_ID,trial_stage,mass_resid_%,sa_resid_%
EASP,B-1,O,Second Removal,0.0,0.0
EASP,B-1,O,Second Removal,0.0,0.0
EASP,B-10,O,Second Removal,0.0,0.0
EASP,B-10,O,Second Removal,0.0,0.0
EASP,B-10,O,Second Removal,0.0,0.0
EASP,B-10,O,Second Removal,0.0,0.0
EASP,B-3,O,Second Removal,0.0,0.0
EASP,B-3,O,Second Removal,0.0,0.0
EASP,B-3,O,Second Removal,0.0,0.0
EASP,B-3,O,Second Removal,0.0,0.0
EASP,B-4,O,Second Removal,0.0,0.0
EASP,B-4,O,Second Removal,0.0,0.0
EASP,B-8,O,Second Removal,0.0,0.0
EASP,B-8,O,Second Removal,0.0,0.0
EASP,B-8,O,Second Removal,0.0,0.0
EASP,B-8,O,Second Removal,0.0,0.0
CASP,C-10,O,First Removal,98.32,70.64
CASP,C-10,O,First Removal,98.32,70.6
CASP,C-6,O,First Removal,44.55,36.54
CASP,C-6,O,First Removal,44.55,36.5
CASP,C-7,O,First Removal,38.78,31.39
CASP,C-7,O,First Removal,38.78,31.4
CASP,C-8,O,First Removal,3.18,2.75
CASP,C-8,O,First Removal,3.18,2.8
CASP,C-9,O,First Removal,35.57,27.62
CASP,C-9,O,First Removal,35.57,27.6
CASP,C-1,O,Second Removal,0.0,0.0
CASP,C-2,O,Second Removal,0.0,0.0
CASP,C-3,O,Second Removal,0.0,0.0
CASP,C-4,O,Second Removal,0.0,0.0
CASP,C-5,O,Second Removal,0.0,0.0
CASP,B-2,O,First Removal,24.24,0.0
CASP,B-2,O,First Removal,24.24,5.78
CASP,B-2,O,First Removal,24.24,0.0
CASP,B-2,O,First Removal,24.24,0.0
CASP,B-3,O,First Removal,0.0,0.0
CASP,B-3,O,First Removal,0.0,0.0
CASP,B-4,O,First Removal,0.0,0.0
CASP,B-4,O,First Removal,0.0,0.0
CASP,B-4,O,First Removal,0.0,0.0
CASP,B-4,O,First Removal,0.0,0.0
CASP,B-8,O,First Removal,0.0,0.0
CASP,B-8,O,First Removal,0.0,0.0
CASP,B-8,O,First Removal,0.0,0.0
CASP,B-8,O,First Removal,0.0,0.0
CASP,B-9,O,First Removal,0.0,0.0
CASP,B-9,O,First Removal,0.0,0.0
CASP,B-1,O,Second Removal,0.0,0.0
CASP,B-1,O,Second Removal,0.0,0.0
CASP,B-1,O,Second Removal,0.0,0.0
CASP,B-5,O,Second Removal,0.0,0.0
CASP,B-5,O,Second Removal,0.0,0.0
CASP,B-5,O,Second Removal,0.0,0.0
CASP,B-6,O,Second Removal,0.0,0.0
CASP,B-6,O,Second Removal,0.0,0.0
CASP,B-6,O,Second Removal,0.0,0.0
CASP,B-6,O,Second Removal,0.0,0.0
CASP,B-7,O,Second Removal,0.0,0.0
CASP,B-7,O,Second Removal,0.0,0.0
CASP,B-7,O,Second Removal,0.0,0.0
CASP,B-7,O,Second Removal,0.0,0.0
ASP,B-1,O,First Removal,0.0,0.0
ASP,B-1,O,First Removal,0.0,0.0
ASP,B-2,O,First Removal,0.0,0.0
ASP,B-2,O,First Removal,0.0,0.0
ASP,B-3,O,First Removal,0.0,0.0
ASP,B-3,O,First Removal,0.0,0.0
ASP,B-4,O,First Removal,0.0,0.0
ASP,B-4,O,First Removal,0.0,0.0
ASP,B-5,O,First Removal,0.0,0.0
ASP,B-5,O,First Removal,0.0,0.0
ASP,B-10,O,Second Removal,0.0,0.0
ASP,B-10,O,Second Removal,0.0,0.0
ASP,B-6,O,Second Removal,0.0,0.0
ASP,B-6,O,Second Removal,0.0,0.0
ASP,B-7,O,Second Removal,0.0,0.0
ASP,B-7,O,Second Removal,0.0,0.0
ASP,B-8,O,Second Removal,0.0,0.0
ASP,B-8,O,Second Removal,0.0,0.0
ASP,B-9,O,Second Removal,0.0,0.0
ASP,B-9,O,Second Removal,0.0,0.0
EASP,B-1,O,First Removal,0.0,0.0
EASP,B-1,O,First Removal,0.0,0.0
EASP,B-2,O,First Removal,0.0,0.0
EASP,B-2,O,First Removal,0.0,0.0
EASP,B-2,O,First Removal,0.0,0.0
EASP,B-2,O,First Removal,0.0,0.0
EASP,B-4,O,First Removal,0.0,0.0
EASP,B-4,O,First Removal,0.0,0.0
EASP,B-5,O,First Removal,0.0,0.0
EASP,B-5,O,First Removal,0.0,0.0
EASP,B-5,O,First Removal,0.0,0.0
EASP,B-5,O,First Removal,0.0,0.0
EASP,B-6,O,First Removal,0.0,0.0
EASP,B-6,O,First Removal,0.0,0.0
EASP,B-6,O,First Removal,0.0,0.0
EASP,B-6,O,First Removal,0.0,0.0
EASP,B-10,O,Second Removal,0.0,0.0
EASP,B-10,O,Second Removal,0.0,0.0
EASP,B-10,O,Second Removal,0.0,0.0
EASP,B-10,O,Second Removal,0.0,0.0
EASP,B-3,O,Second Removal,0.0,0.0
EASP,B-3,O,Second Removal,0.0,0.0
EASP,B-3,O,Second Removal,0.0,0.0
EASP,B-3,O,Second Removal,0.0,0.0
EASP,B-7,O,Second Removal,0.0,0.0
EASP,B-7,O,Second Removal,0.0,0.0
EASP,B-8,O,Second Removal,0.0,0.0
EASP,B-8,O,Second Removal,0.0,0.0
EASP,B-8,O,Second Removal,0.0,0.0
EASP,B-8,O,Second Removal,0.0,0.0
EASP,B-9,O,Second Removal,0.0,0.0
EASP,B-9,O,Second Removal,0.0,0.0
Windrow,B-10,O,First Removal,0.0,0.0
Windrow,B-10,O,First Removal,0.0,0.0
Windrow,B-2,O,First Removal,0.0,0.0
Windrow,B-2,O,First Removal,0.0,0.0
Windrow,B-4,O,First Removal,0.0,0.0
Windrow,B-4,O,First Removal,0.0,0.0
Windrow,B-6,O,First Removal,0.0,0.0
Windrow,B-6,O,First Removal,0.0,0.0
Windrow,B-7,O,First Removal,0.0,0.0
Windrow,B-7,O,First Removal,0.0,0.0
Windrow,B-1,O,Second Removal,0.0,0.0
Windrow,B-1,O,Second Removal,0.0,0.0
Windrow,B-3,O,Second Removal,0.0,0.0
Windrow,B-3,O,Second Removal,0.0,0.0
Windrow,B-5,O,Second Removal,0.0,0.0
Windrow,B-5,O,Second Removal,0.0,0.0
Windrow,B-9,O,Second Removal,0.0,0.0
Windrow,B-9,O,Second Removal,0.0,0.0
EASP,NaN,O,First Removal,0.22,0.06
EASP,NaN,O,First Removal,0.22,0.1
EASP,NaN,O,Second Removal,0.0,0.0
EASP,NaN,O,Second Removal,0.0,0.0
In-Vessel,NaN,O,First Removal,3.15,0.36
In-Vessel,NaN,O,First Removal,3.15,0.4
In-Vessel,NaN,O,Second Removal,0.35,0.1
In-Vessel,NaN,O,Second Removal,0.35,0.1
 Windrow,B-10,Q,First Removal,87.61,84.0
 Windrow,B-10,Q,First Removal,87.61,84.0
 Windrow,B-6,Q,First Removal,103.37,80.37
 Windrow,B-6,Q,First Removal,103.37,80.4
 Windrow,B-7,Q,First Removal,95.76,81.42
 Windrow,B-7,Q,First Removal,95.76,81.4
 Windrow,B-8,Q,First Removal,83.14,71.79
 Windrow,B-8,Q,First Removal,83.14,71.8
 Windrow,B-9,Q,First Removal,75.81,75.77
 Windrow,B-9,Q,First Removal,75.81,75.8
 Windrow,B-1,Q,Second Removal,73.44,52.64
 Windrow,B-1,Q,Second Removal,73.44,52.6
 Windrow,B-2,Q,Second Removal,0.0,0.0
 Windrow,B-2,Q,Second Removal,0.0,0.0
 Windrow,B-3,Q,Second Removal,0.0,0.0
 Windrow,B-3,Q,Second Removal,0.0,0.0
 Windrow,B-4,Q,Second Removal,0.0,0.0
 Windrow,B-4,Q,Second Removal,0.0,0.0
 Windrow,B-5,Q,Second Removal,76.18,61.12
 Windrow,B-5,Q,Second Removal,76.18,61.1
CASP,B-1,Q,First Removal,161.51,86.02
CASP,B-1,Q,First Removal,161.51,86.0
CASP,B-2,Q,First Removal,153.32,72.01
CASP,B-2,Q,First Removal,153.32,67.25
CASP,B-2,Q,First Removal,153.32,72.0
CASP,B-2,Q,First Removal,153.32,67.2
CASP,B-4,Q,First Removal,127.64,67.82
CASP,B-4,Q,First Removal,127.64,74.94
CASP,B-4,Q,First Removal,127.64,67.8
CASP,B-4,Q,First Removal,127.64,74.9
CASP,B-5,Q,First Removal,106.32,83.45
CASP,B-5,Q,First Removal,106.32,83.4
CASP,B-8,Q,First Removal,124.01,88.34
CASP,B-8,Q,First Removal,124.01,85.26
CASP,B-8,Q,First Removal,124.01,24.64
CASP,B-8,Q,First Removal,124.01,88.3
CASP,B-8,Q,First Removal,124.01,85.3
CASP,B-8,Q,First Removal,124.01,24.6
CASP,B-3,Q,Second Removal,109.52,71.66
CASP,B-3,Q,Second Removal,109.52,0.0
CASP,B-3,Q,Second Removal,109.52,71.7
CASP,B-3,Q,Second Removal,109.52,0.0
CASP,B-6,Q,Second Removal,157.36,79.78
CASP,B-6,Q,Second Removal,157.36,0.0
CASP,B-6,Q,Second Removal,157.36,79.8
CASP,B-6,Q,Second Removal,157.36,0.0
CASP,B-7,Q,Second Removal,108.53,75.12
CASP,B-7,Q,Second Removal,108.53,0.0
CASP,B-7,Q,Second Removal,108.53,75.1
CASP,B-7,Q,Second Removal,108.53,0.0
CASP,B-9,Q,Second Removal,112.53,74.32
CASP,B-9,Q,Second Removal,112.53,74.3
EASP,B-2,Q,First Removal,106.8,62.23
EASP,B-2,Q,First Removal,106.8,78.3
EASP,B-2,Q,First Removal,106.8,62.2
EASP,B-2,Q,First Removal,106.8,78.3
EASP,B-5,Q,First Removal,112.67,87.36
EASP,B-5,Q,First Removal,112.67,89.47
EASP,B-5,Q,First Removal,112.67,87.4
EASP,B-5,Q,First Removal,112.67,89.5
EASP,B-6,Q,First Removal,132.56,86.17
EASP,B-6,Q,First Removal,132.56,87.44
EASP,B-6,Q,First Removal,132.56,86.2
EASP,B-6,Q,First Removal,132.56,87.4
EASP,B-7,Q,First Removal,120.52,83.46
EASP,B-7,Q,First Removal,120.52,83.5
EASP,B-8,Q,First Removal,162.51,91.79
EASP,B-8,Q,First Removal,162.51,91.8
EASP,B-1,Q,Second Removal,0.0,0.0
EASP,B-1,Q,Second Removal,0.0,0.0
EASP,B-10,Q,Second Removal,19.32,18.36
EASP,B-10,Q,Second Removal,19.32,71.0
EASP,B-10,Q,Second Removal,19.32,18.4
EASP,B-10,Q,Second Removal,19.32,71.0
EASP,B-3,Q,Second Removal,0.0,0.0
EASP,B-3,Q,Second Removal,0.0,79.36
EASP,B-3,Q,Second Removal,0.0,0.0
EASP,B-3,Q,Second Removal,0.0,79.4
EASP,B-4,Q,Second Removal,101.98,85.25
EASP,B-4,Q,Second Removal,101.98,85.2
EASP,B-8,Q,Second Removal,31.17,20.69
EASP,B-8,Q,Second Removal,31.17,72.93
EASP,B-8,Q,Second Removal,31.17,20.7
EASP,B-8,Q,Second Removal,31.17,72.9
CASP,B-10,Q,First Removal,113.84,84.36
CASP,B-10,Q,First Removal,113.84,84.4
CASP,B-6,Q,First Removal,140.8,82.73
CASP,B-6,Q,First Removal,140.8,82.7
CASP,B-7,Q,First Removal,78.02,80.33
CASP,B-7,Q,First Removal,78.02,80.3
CASP,B-8,Q,First Removal,133.62,88.34
CASP,B-8,Q,First Removal,133.62,85.26
CASP,B-8,Q,First Removal,133.62,24.64
CASP,B-8,Q,First Removal,133.62,88.3
CASP,B-8,Q,First Removal,133.62,85.3
CASP,B-8,Q,First Removal,133.62,24.6
CASP,B-9,Q,First Removal,137.41,87.88
CASP,B-9,Q,First Removal,137.41,75.95
CASP,B-9,Q,First Removal,137.41,87.9
CASP,B-9,Q,First Removal,137.41,75.9
CASP,B-1,Q,Second Removal,0.0,0.0
CASP,B-1,Q,Second Removal,0.0,85.49
CASP,B-1,Q,Second Removal,0.0,0.0
CASP,B-1,Q,Second Removal,0.0,85.5
CASP,B-2,Q,Second Removal,139.29,76.73
CASP,B-2,Q,Second Removal,139.29,76.7
CASP,B-3,Q,Second Removal,0.0,71.66
CASP,B-3,Q,Second Removal,0.0,0.0
CASP,B-3,Q,Second Removal,0.0,71.7
CASP,B-3,Q,Second Removal,0.0,0.0
CASP,B-4,Q,Second Removal,107.47,84.51
CASP,B-4,Q,Second Removal,107.47,84.5
CASP,B-5,Q,Second Removal,0.0,0.0
CASP,B-5,Q,Second Removal,0.0,79.75
CASP,B-5,Q,Second Removal,0.0,0.0
CASP,B-5,Q,Second Removal,0.0,79.8
CASP,B-2,Q,First Removal,40.87,72.01
CASP,B-2,Q,First Removal,40.87,67.25
CASP,B-2,Q,First Removal,40.87,72.0
CASP,B-2,Q,First Removal,40.87,67.2
CASP,B-3,Q,First Removal,55.1,74.2
CASP,B-3,Q,First Removal,55.1,74.2
CASP,B-4,Q,First Removal,112.33,67.82
CASP,B-4,Q,First Removal,112.33,74.94
CASP,B-4,Q,First Removal,112.33,67.8
CASP,B-4,Q,First Removal,112.33,74.9
CASP,B-8,Q,First Removal,39.25,88.34
CASP,B-8,Q,First Removal,39.25,85.26
CASP,B-8,Q,First Removal,39.25,24.64
CASP,B-8,Q,First Removal,39.25,88.3
CASP,B-8,Q,First Removal,39.25,85.3
CASP,B-8,Q,First Removal,39.25,24.6
CASP,B-9,Q,First Removal,86.18,87.88
CASP,B-9,Q,First Removal,86.18,75.95
CASP,B-9,Q,First Removal,86.18,87.9
CASP,B-9,Q,First Removal,86.18,75.9
CASP,B-1,Q,Second Removal,130.95,0.0
CASP,B-1,Q,Second Removal,130.95,85.49
CASP,B-1,Q,Second Removal,130.95,0.0
CASP,B-1,Q,Second Removal,130.95,85.5
CASP,B-5,Q,Second Removal,97.1,0.0
CASP,B-5,Q,Second Removal,97.1,79.75
CASP,B-5,Q,Second Removal,97.1,0.0
CASP,B-5,Q,Second Removal,97.1,79.8
CASP,B-6,Q,Second Removal,0.0,79.78
CASP,B-6,Q,Second Removal,0.0,0.0
CASP,B-6,Q,Second Removal,0.0,79.8
CASP,B-6,Q,Second Removal,0.0,0.0
CASP,B-7,Q,Second Removal,0.0,75.12
CASP,B-7,Q,Second Removal,0.0,0.0
CASP,B-7,Q,Second Removal,0.0,75.1
CASP,B-7,Q,Second Removal,0.0,0.0
